# Used by org.languagetool.rules.nl.MissingSpaceRule
# should be used for compound of 2 parts and more
# those should not be in simple replace then.
# format: separate parts of compound word| description of meaning of compound (to avoid confusion with occasion correct use of split form)
anti diefstal vlaggenmasten|vlaggenmasten tegen diefstal
anti diefstal voertuig|voertuig tegen diefstal
anti diefstal voorziening|voorziening tegen diefstal
anti diefstal voorzieningen|voorzieningen tegen diefstal
anti diefstal voorzorgsmaatregel|voorzorgsmaatregel tegen diefstal
anti diefstal wielbouten|wielbouten tegen diefstal
anti dienstplicht groeperingen|groeperingen tegen dienstplicht
anti dierenleed actie|actie tegen dierenleed
anti dierenleed activisten|activisten tegen dierenleed
anti dierenleed demonstratie|demonstratie tegen dierenleed
anti dierenrechten schrijvers|schrijvers tegen dierenrechten
anti dierproeven beweging|beweging tegen dierproeven
anti dieselgate maatregelen|maatregelen tegen dieselgate
anti diftar onderbuikgevoel|onderbuikgevoel tegen diftar
anti directie agenda|agenda tegen directie
anti disco beweging|beweging tegen disco
anti discriminatie actie|actie tegen discriminatie
anti discriminatie acties|acties tegen discriminatie
anti discriminatie ambassadeur|ambassadeur tegen discriminatie
anti discriminatie artikel|artikel tegen discriminatie
anti discriminatie artikelen|artikelen tegen discriminatie
anti discriminatiebeginsel|discriminatiebeginsel tegen 
anti discriminatiebeleid|discriminatiebeleid tegen 
anti discriminatiebeleid waarvoor|waarvoor tegen discriminatiebeleid
anti discriminatie bepalingen|bepalingen tegen discriminatie
anti discriminatie betoging|betoging tegen discriminatie
anti discriminatie beweging|beweging tegen discriminatie
anti discriminatie bijeenkomst|bijeenkomst tegen discriminatie
anti discriminatiebureau|discriminatiebureau tegen 
anti discriminatie bureaus|bureaus tegen discriminatie
anti discriminatie campagne|campagne tegen discriminatie
anti discriminatie clubjes|clubjes tegen discriminatie
anti discriminatie comité|comité tegen discriminatie
anti discriminatie commissie|commissie tegen discriminatie
anti discriminatie doctrine|doctrine tegen discriminatie
anti discriminatie fanaat|fanaat tegen discriminatie
anti discriminatie icoon|icoon tegen discriminatie
anti discriminatie industrie|industrie tegen discriminatie
anti discriminatie instellingen|instellingen tegen discriminatie
anti discriminatie Kamerleden|Kamerleden tegen discriminatie
anti discriminatie maatregelen|maatregelen tegen discriminatie
anti discriminatie maffia|maffia tegen discriminatie
anti discriminatie organisaties|organisaties tegen discriminatie
anti discriminatie overeenkomsten|overeenkomsten tegen discriminatie
anti discriminatie platform|platform tegen discriminatie
anti discriminatie pleisters|pleisters tegen discriminatie
anti discriminatie politie|politie tegen discriminatie
anti discriminatie rechercheur|rechercheur tegen discriminatie
anti discriminatie regels|regels tegen discriminatie
anti discriminatie sector|sector tegen discriminatie
anti discriminatie snuiters|snuiters tegen discriminatie
anti discriminatie tentoonstelling|tentoonstelling tegen discriminatie
anti discriminatie trainer|trainer tegen discriminatie
anti discriminatie vereniging|vereniging tegen discriminatie
anti discriminatie verklaring|verklaring tegen discriminatie
anti discriminatievoorziening|discriminatievoorziening tegen 
anti discriminatievoorzieningen|discriminatievoorzieningen tegen 
anti discriminatie wet|wet tegen discriminatie
anti discriminatie wetgeving|wetgeving tegen discriminatie
anti discriminatie wetsvoorstel|wetsvoorstel tegen discriminatie
anti display functies|functies tegen display
anti DNA antistoffen|antistoffen tegen DNAstoffen
anti dofheid formule|formule tegen dofheid
anti doleantie polemiek|polemiek tegen dolee
anti dollar alliantie|alliantie tegen dollarallie
anti dollar coalitie|coalitie tegen dollar
anti donor reactiviteit|reactiviteit tegen donor
anti doodstraf advocatenkantoor|advocatenkantoor tegen doodstraf
anti doodstraf gemeenschap|gemeenschap tegen doodstraf
anti doodstraf richting|richting tegen doodstraf
anti doping aanklagers|aanklagers tegen doping
anti doping afdeling|afdeling tegen doping
anti dopingagentschap|dopingagentschap tegen 
anti doping agentschappen|agentschappen tegen doping
anti doping autoriteit|autoriteit tegen doping
anti doping autoriteiten|autoriteiten tegen doping
anti dopingautoriteit informatie|informatie tegen dopingautoriteit
anti dopingbeleid|dopingbeleid tegen 
anti doping brigade|brigade tegen doping
anti doping bureau|bureau tegen doping
anti doping campagne|campagne tegen doping
anti doping code|code tegen doping
anti doping commissie|commissie tegen doping
anti doping controle|controle tegen doping
anti doping controles|controles tegen doping
anti doping experts|experts tegen doping
anti doping houding|houding tegen doping
anti doping industrie|industrie tegen doping
anti doping informatie|informatie tegen doping
anti doping instituut|instituut tegen doping
anti doping kenniscentrum|kenniscentrum tegen doping
anti doping krachten|krachten tegen doping
anti doping laboratoria|laboratoria tegen doping
anti doping maatregelen|maatregelen tegen doping
anti doping officials|officials tegen doping
anti doping ondernemingen|ondernemingen tegen doping
anti doping organisatie|organisatie tegen doping
anti doping organisaties|organisaties tegen doping
anti doping prediker|prediker tegen doping
anti doping programma|programma tegen doping
anti dopingprogramma s|s tegen dopingprogramma
anti doping regelgeving|regelgeving tegen doping
anti doping regels|regels tegen doping
anti doping reglement|reglement tegen doping
anti doping reglementen|reglementen tegen doping
anti doping schendingen|schendingen tegen doping
anti dopingscommissie advies|advies tegen dopingscommissie
anti doping SS|SS tegen doping
anti doping stickers|stickers tegen doping
anti doping systeem|systeem tegen doping
anti dopingsysteem zoiets|zoiets tegen dopingsysteem
anti doping termen|termen tegen doping
anti doping tribunaal|tribunaal tegen doping
anti doping voorlichting|voorlichting tegen doping
anti doping wereld|wereld tegen doping
anti doping wetgeving|wetgeving tegen doping
anti Douglas factieleiders|factieleiders tegen Douglas
anti draad alg strategie|strategie tegen draadalg
anti draai deur bepaling|bepaling tegen draaideur
anti draai deurbepaling toepassing|toepassing tegen draaideurbepaling
anti draai deur maatregelen|maatregelen tegen draaideur
anti draai kolk techniek|techniek tegen draaikolk
anti drank activisten|activisten tegen drank
anti drank beweging|beweging tegen drank
anti drank campagne|campagne tegen drank
anti drank campagnes|campagnes tegen drank
anti drone activist|activist tegen drone
anti drone activisten|activisten tegen drone
anti drone bazooka|bazooka tegen drone
anti drone campagne|campagne tegen drone
anti drone competitie|competitie tegen drone
anti drone drone|drone tegen 
anti drone geweren|geweren tegen drone
anti drone maatregelen|maatregelen tegen drone
anti drone radar|radar tegen drone
anti drone systemen|systemen tegen drone
anti drug activiteiten|activiteiten tegen drug
anti drug beambten|beambten tegen drug
anti drugbeleid demonstraties|demonstraties tegen drugbeleid
anti drug conferentie|conferentie tegen drug
anti drug federatie|federatie tegen drug
anti drug gevoelens|gevoelens tegen drug
anti drug non-profit|non-profit tegen drug
anti drug officier|officier tegen drug
anti drug operaties|operaties tegen drug
anti drug raids|raids tegen drug
anti drugsactie politie|politie tegen drugsactie
anti drugs activiteiten|activiteiten tegen drugs
anti drugs afwijzing|afwijzing tegen drugs
anti drugs agentschap|agentschap tegen drugs
anti drugsbeleid|drugsbeleid tegen 
anti drugsbeleid kracht|kracht tegen drugsbeleid
anti drugs bestrijder|bestrijder tegen drugs
anti drugs brigade|brigade tegen drugs
anti drugs brochures|brochures tegen drugs
anti drugscampagne|drugscampagne tegen 
anti drugs campagnes|campagnes tegen drugs
anti drugs conventies|conventies tegen drugs
anti drugsdag|drugsdag tegen 
anti drugs eenheid|eenheid tegen drugs
anti drugs epos|epos tegen drugs
anti drugs figuur|figuur tegen drugs
anti drugs forum|forum tegen drugs
anti drugs functionarissen|functionarissen tegen drugs
anti drugs houding|houding tegen drugs
anti drugs hysterie|hysterie tegen drugs
anti drugs instantie|instantie tegen drugsinste
anti drugs maatregelen|maatregelen tegen drugs
anti drugs marathon|marathon tegen drugs
anti drugs massa|massa tegen drugs
anti drugs mensen|mensen tegen drugs
anti drugs mentaliteit|mentaliteit tegen drugs
anti drugs missie|missie tegen drugs
anti drugs model|model tegen drugs
anti drugs opdrachten|opdrachten tegen drugs
anti drugs operatie|operatie tegen drugs
anti drugsoperaties|drugsoperaties tegen 
anti drugs organisatie|organisatie tegen drugs
anti drugs organisaties|organisaties tegen drugs
anti drugs overheidsdienst|overheidsdienst tegen drugs
anti drugs patrouilles|patrouilles tegen drugs
anti drugs politici|politici tegen drugs
anti drugs politie|politie tegen drugs
anti drugs politiebaas|politiebaas tegen drugs
anti drugs programma|programma tegen drugs
anti drugs programma's|programma's tegen drugs
anti drugs propaganda|propaganda tegen drugs
anti drugs-propaganda|drugs-propaganda tegen 
anti drugs regels|regels tegen drugs
anti drugs strategie|strategie tegen drugs
anti drugs terrorisme|terrorisme tegen drugs
anti drug strategie|strategie tegen drug
anti drugs verlichting|verlichting tegen drugs
anti drugs wetgeving|wetgeving tegen drugs
anti drug volksoorlog|volksoorlog tegen drug
anti drukplek maatregelen|maatregelen tegen drukplek
anti drukringen likdoorns|likdoorns tegen drukringen
anti drukring likdoorn|likdoorn tegen drukring
anti dubbelstad sentimenten|sentimenten tegen dubbelstad
anti dufheid recept|recept tegen dufheid
anti duikboot oorlog|oorlog tegen duikboot
anti duikboot schip|schip tegen duikboot
anti Duitsch gestook|gestook tegen Duitsch
anti Duitsland gevoelens|gevoelens tegen Duitsland
anti dumping acties|acties tegen dumping
anti dumping beleid|beleid tegen dumping
anti dumping clausule|clausule tegen dumping
anti dumping heffing|heffing tegen dumping
anti dumping heffingen|heffingen tegen dumping
anti dumping klacht|klacht tegen dumping
anti dumping maatregel|maatregel tegen dumping
anti dumping maatregelen|maatregelen tegen dumping
anti dumpingmaatregelen belastingtarief|belastingtarief tegen dumpingmaatregelen
anti dumping praktijken|praktijken tegen dumping
anti dumping procedure|procedure tegen dumping
anti dumping procedures|procedures tegen dumping
anti dumpingrecht carbon|carbon tegen dumpingrecht
anti dumpingrecht marge|marge tegen dumpingrecht
anti dumping regelgeving|regelgeving tegen dumping
anti dumping regeling|regeling tegen dumping
anti dumping regels|regels tegen dumping
anti dumping systeem|systeem tegen dumping
anti dumping tarief|tarief tegen dumping
anti dumping tarieven|tarieven tegen dumping
anti dumping wetgeving|wetgeving tegen dumping
anti dumping zaken|zaken tegen dumping
anti eczeem behandeling|behandeling tegen eczeem
anti eczeem crèmes|crèmes tegen eczeem
anti eelt crèmes|crèmes tegen eelt
anti eiland beveiliging|beveiliging tegen eiland
anti eiland module|module tegen eiland
anti eiland unit|unit tegen eiland
anti Einstein beweging|beweging tegen Einstein
anti elite anarchisten|anarchisten tegen elite
anti elite campagne|campagne tegen elite
anti elite component|component tegen elite
anti elite populisme|populisme tegen elite
anti elite sentimenten|sentimenten tegen elite
anti embolie kous|kous tegen embolie
anti emigratie beleid|beleid tegen emigratie
anti emotie medicijn|medicijn tegen emotie
anti encryptie wetgeving|wetgeving tegen encryptie
anti enzym eigenschappen|eigenschappen tegen enzym
anti epidemie kennis|kennis tegen epidemie
anti epilepsie behandeling|behandeling tegen epilepsie
anti epilepsie geneesmiddelen|geneesmiddelen tegen epilepsie
anti epilepsie medicatie|medicatie tegen epilepsie
anti epilepsie medicijn|medicijn tegen epilepsie
anti epilepsie medicijnen|medicijnen tegen epilepsie
anti epileptica ademhalingsdepressie|ademhalingsdepressie tegen epileptica
anti epileptica antidepressiva|antidepressiva tegen epilepticadepressiva
anti epileptica bijwerkingen|bijwerkingen tegen epileptica
anti epileptica duizeligheid|duizeligheid tegen epileptica
anti epileptica medicatie|medicatie tegen epileptica
anti epileptica medicijnen|medicijnen tegen epileptica
anti Erdogan betoging|betoging tegen Erdogan
anti Erdogan figuur|figuur tegen Erdogan
anti Erdogan media|media tegen Erdogan
anti Erdogan propaganda|propaganda tegen Erdogan
anti Erdogan sentimenten|sentimenten tegen Erdogan
anti erosie constructies|constructies tegen erosie
anti erosie dijkjes|dijkjes tegen erosie
anti erosie eigenschappen|eigenschappen tegen erosie
anti erosiemaatregelen|erosiemaatregelen tegen 
anti erosie mondspoelmiddel|mondspoelmiddel tegen erosie
anti erosie projecten|projecten tegen erosie
anti establishment accenten|accenten tegen establishment
anti establishment antifascisme|antifascisme tegen establishmentfascisme
anti establishment attitude|attitude tegen establishment
anti establishmentbeweging|establishmentbeweging tegen 
anti establishment coalitie|coalitie tegen establishment
anti establishment cultus|cultus tegen establishment
anti establishment cultuur|cultuur tegen establishment
anti establishment entourage|entourage tegen establishment
anti establishment feestje|feestje tegen establishment
anti establishment figuur|figuur tegen establishment
anti establishment gehalte|gehalte tegen establishment
anti establishment gevoel|gevoel tegen establishment
anti establishment gevoelens|gevoelens tegen establishment
anti establishment groeperingen|groeperingen tegen establishment
anti establishment groepje|groepje tegen establishment
anti establishment houding|houding tegen establishment
anti establishment imago|imago tegen establishment
anti establishment initiatieven|initiatieven tegen establishment
anti establishment kandidaat|kandidaat tegen establishment
anti establishment kandidaten|kandidaten tegen establishment
anti establishment kiezers|kiezers tegen establishment
anti establishment kraakpand|kraakpand tegen establishment
anti establishment leuzen|leuzen tegen establishment
anti establishment liederen|liederen tegen establishment
anti establishment milieu|milieu tegen establishment
anti establishment neigingen|neigingen tegen establishment
anti establishment onderstroom|onderstroom tegen establishment
anti establishment partij|partij tegen establishment
anti establishment partijen|partijen tegen establishment
anti establishment politici|politici tegen establishment
anti establishment politicus|politicus tegen establishment
anti establishment populisme|populisme tegen establishment
anti establishment pose|pose tegen establishment
anti establishment positie|positie tegen establishment
anti establishment protest|protest tegen establishment
anti establishment punkgroepen|punkgroepen tegen establishment
